name,time,hex,type,ZTMS070-主计算机电压,ZTMS071-主计算机电流,ZTMS072-备计算机电压,ZTMS073-备计算机电流,ZTMS074-主GNSS电压,ZTMS075-主GNSS电流,ZTMS076-备GNSS电压,ZTMS077-备GNSS电流,ZTMS078-主测控12V电压,ZTMS079-主测控12V电流,ZTMS080-备测控12V电压,ZTMS081-备测控12V电流,ZTMS082-主磁强计电压,ZTMS083-备磁强计电压,ZTMS084-主太敏电压,ZTMS085-备太敏电压,ZTMS086-主星敏电压,ZTMS087-备星敏电压,ZTMS088-主陀螺电压,ZTMS089-备陀螺电压,ZTMS090-磁力矩器电压,ZTMS091-磁力矩器X电流,ZTMS092-磁力矩器Y电流,ZTMS093-磁力矩器Z电流,ZTMS094-X轮电压,ZTMS095-Y轮电压,ZTMS096-Z轮电压,ZTMS097-S轮电压,ZTMS098-中心计算机3.3V电压,ZTMS099-中心计算机3.3V电流,ZTMS100-中心计算机2.5V电压,ZTMS101-中心计算机2.5V电流,ZTMS102-中心计算机5V电压,ZTMS103-中心计算机5V电流,ZTMS104-ADSB电流,ZTMS105-ADSB电压,ZTMS106-预留2电流,ZTMS107-预留2电压,ZTMS108-VDES-A电流,ZTMS109-VDES-A电压,ZTMS110-VDES-B电流,ZTMS111-VDES-B电压,ZTMS112-DCS-A电流,ZTMS113-DCS-A电压,ZTMS114-DCS-B电流,ZTMS115-DCS-B电压,ZTMS116-天线热刀1电流,ZTMS117-天线热刀1电压,ZTMS118-公共+12V电流,ZTMS119-公共+12V电压,ZTMS120-公共+5V电流,ZTMS121-公共+5V电压,ZTMS122-天线热刀2电压,ZTMS123-天线热刀2电流,ZTMS124-天线热刀3电压,ZTMS125-天线热刀3电流,ZTMS156-地面供电电流,ZTMS157-时间程控指令记录位置,ZTMS158-时间程控缓冲区指令存储个数,ZTMS159-时间程控指令待执行优先级,ZTMS160-时间程控指令待执行目标优先级,ZTMS161-待执行时间程控指令个数,ZTMS162-日志记录个数,ZTMS163-日志记录尾,ZTMS164-日志回放地址,ZTMS165-主测控数传识别申请计数,ZTMS165-备测控数传识别申请计数,ZTMS165-GNSS识别申请计数,ZTMS165-扩展板识别申请计数,ZTMS166-DCS识别申请计数,ZTMS166-ADSB识别申请计数,ZTMS166-VDES识别申请计数,ZTMS166-太敏识别申请计数,ZTMS167-X轮识别申请计数,ZTMS167-Y轮识别申请计数,ZTMS167-Z轮识别申请计数,ZTMS167-S轮识别申请计数,ZTMS168-星敏A识别申请计数,ZTMS168-星敏B识别申请计数,ZTMS168-GNSS位置速度判断状态,ZTMS169-X测控上行故障计数,ZTMS169-自主指令计数,ZTMS170-主测控总线无应答计数,ZTMS171-备测控总线无应答计数,ZTMS172-主GNSS总线无应答计数,ZTMS173-备GNSS总线无应答计数,ZTMS174-扩展板总线无应答计数,ZTMS175-主DCS总线无应答计数,ZTMS176-备DCS总线无应答计数,ZTMS177-主VDES总线无应答计数,ZTMS178-备VDES总线无应答计数,ZTMS179-ADSB总线无应答计数,ZTMS180-主测控切机/重启计数,ZTMS180-备测控切机/重启计数,ZTMS181-主GNSS切机/重启计数,ZTMS181-备GNSS切机/重启计数,ZTMS182-主DCS切机/重启计数,ZTMS182-备DCS切机/重启计数,ZTMS183-主VDES切机/重启计数,ZTMS183-备VDES切机/重启计数,ZTMS184-ADSB切机/重启计数,ZTMS184-扩展板切机/重启计数,ZTMS185-星务快包在线状态,ZTMS185-星务中包在线状态,ZTMS185-星务慢包在线状态,ZTMS185-星务代码上注包在线状态,ZTMS185-姿控快包在线状态,ZTMS185-姿控中包在线状态,ZTMS185-GNSS包在线状态,ZTMS185-扩展板包在线状态,ZTMS186-主测控快包在线状态,ZTMS186-主测控慢包在线状态,ZTMS186-备测控快包在线状态,ZTMS186-备测控慢包在线状态,ZTMS186-DCS快包在线状态,ZTMS186-DCS慢包在线状态,ZTMS186-ADSB包在线状态,ZTMS186-VDES包在线状态,ZTMS187-热刀1展开执行状态,ZTMS187-热刀2展开执行状态,ZTMS187-热刀3展开执行状态,ZTMS187-热刀4展开执行状态,ZTMS188-软件运行时间/GNSS切机重启时间,ZTMS189-软件版本号,ZTMS189-FPGA引导搬移状态,ZTMS190-延时遥测存储单机选择,ZTMS190-依能源自主控发射机状态,ZTMS190-X测控发射机默认开启基带选择,ZTMS190-进测控站自主开启下行单机标志,ZTMS190-测控站自主控X测控发射机使能状态,ZTMS190-前期测控双机加电使能状态,ZTMS190-测控站内测控双机加电使能状态,ZTMS190-测控站外测控双机加电使能状态,ZTMS191-下传延时遥测周期,ZTMS191-DCS工作区自主加断电使能状态,ZTMS191-姿控部组件包在线状态,ZTMS191-HWT905包在线状态,ZTMS191-DCS应急遥测包在线状态,ZTMS192-备用,ZTMS192-DCS载荷工作单机选择,ZTMS192-DCS参数自主设置,ZTMS192-程控使能状态,ZTMS192-自主展开帆板,ZTMS192-星务自主切机,ZTMS192-星务在线状态,ZTMS192-喂狗状态,ZTMS193-依据姿控请求切机状态执行切机,ZTMS193-GNSS捕获状态,ZTMS193-GNSS工作模式,ZTMS193-GNSS引入时间位置判断,ZTMS193-GNSS自主切机模式,ZTMS193-GNSS自主切机,ZTMS193-GNSS 校时,ZTMS194-执行姿控请求切机计数,ZTMS194-依机动状态执行切机使能标志,ZTMS194-能源危机执行星务切机使能禁能状态,ZTMS194-能源状态自主转姿控计算机,ZTMS194-能源充足时自主刷新姿控能源状态,ZTMS194-姿控进站可使用状态,ZTMS195-单体均衡使能状态,ZTMS195-单体1均衡状态,ZTMS195-单体2均衡状态,ZTMS195-单体3均衡状态,ZTMS195-单体4均衡状态,ZTMS195-单体5均衡状态,ZTMS195-单体6均衡状态,ZTMS195-单体7均衡状态
0x0822,1731016622054000000,03ff00003617361300008024804037003700363636003700000039390039a9227c8e82d7000100020000000000000000000002800634000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5230c00fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.37109375,0.0,0.0,12.3,0.703125,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.06640625,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.1171875,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805644,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016626054000000,03ff00003618361200008023804037003700373636003700000039390039a9237c8e82d7000100020000000000000000000002810534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5231000fe111eef7d00,0,0.0,0.0,5.1890625,0.46875,5.1890625,0.3515625,0.0,0.0,12.3,0.68359375,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.28515625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.39609375,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805648,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016630054000000,03ff000036173612000080248040370037003736360035001c0039390039a8227c8e83d7000100020000000000000000000002810535000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5231400fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.3515625,0.0,0.0,12.3,0.703125,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.28515625,5.1890625,5.1890625,0.0,5.092968750000001,0.0,0.109375,0.0,12.24609375,12.24609375,0.0,12.24609375,3.28125,0.06640625,2.421875,0.27734375,5.1171875,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.39609375,0.09765625,5.092968750000001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805652,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016634054000000,03ff00003517361100008023804037003700363636003700000039390039a9227c8e82d7000100020000000000000000000002800534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5231800fe111eef7d00,0,0.0,0.0,5.092968750000001,0.44921875,5.1890625,0.33203125,0.0,0.0,12.3,0.68359375,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.06640625,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805656,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016638054000000,03ff00003617361100008023804038003700363636003700000039390039a9237c8e82d7000100020000000000000000000002800634000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5231c00fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.33203125,0.0,0.0,12.3,0.68359375,12.3,1.25,5.3812500000000005,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.1171875,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805660,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016642054000000,03ff00003517371200008023803f3700370036363600ff00000039390039a9237c8e82d7000100020000000000000000000002800534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5232000fe111eef7d00,0,0.0,0.0,5.092968750000001,0.44921875,5.28515625,0.3515625,0.0,0.0,12.3,0.68359375,12.3,1.23046875,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,24.50390625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805664,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016646054000000,03ff0000361836130000802380403700370036363600351b1c0039390039a9237c8e82d7000100020000000000000000000002800534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5232400fe111eef7d00,0,0.0,0.0,5.1890625,0.46875,5.1890625,0.37109375,0.0,0.0,12.3,0.68359375,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.092968750000001,0.10546875,0.109375,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805668,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016650054000000,03ff00003617361200008024804037003700373636003700000039390039a9237c8e83d7000100020000000000000000000002810535000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5232800fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.3515625,0.0,0.0,12.3,0.703125,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.28515625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.1171875,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.39609375,0.09765625,5.092968750000001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805672,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016654054000000,03ff00003617361300008024804037003700363636003700000039390039a9227c8e82d7000200020000000000000000000002810534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5232c00fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.37109375,0.0,0.0,12.3,0.703125,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.06640625,2.421875,0.27734375,5.078125,0.16796875,0.0,0.1921875,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.39609375,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805676,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016658054000000,03ff0000361836120000802380403700370036363600351b000039390039a9237c8e83d7000100020000000000000000000002800534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5233000fe111eef7d00,0,0.0,0.0,5.1890625,0.46875,5.1890625,0.3515625,0.0,0.0,12.3,0.68359375,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.092968750000001,0.10546875,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.1171875,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805680,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016662054000000,03ff00003617361200008024804037003700373636003700000039390039a9237c8e82d7000100020000000000000000000002800534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5233400fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.3515625,0.0,0.0,12.3,0.703125,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.28515625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805684,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016666054000000,03ff00003617371200008023804038003700363635003600000039390039a9227c8d82d7000100020000000000000000000002800534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5233800fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.28515625,0.3515625,0.0,0.0,12.3,0.68359375,12.3,1.25,5.3812500000000005,0.0,5.28515625,0.0,5.1890625,5.1890625,5.092968750000001,0.0,5.1890625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.06640625,2.421875,0.275390625,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805688,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016670054000000,03ff0000361736120000802480403800370036363600351b000039390039a9237c8e83d7000100020000000000000000000002800634000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5233c00fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.3515625,0.0,0.0,12.3,0.703125,12.3,1.25,5.3812500000000005,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.092968750000001,0.10546875,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.068359375,2.421875,0.27734375,5.1171875,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.1171875,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805692,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016674054000000,03ff00003617361200008023804037003700363636003700000039390039a9227c8e83d7000100020000000000000000000002810534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5234000fe111eef7d00,0,0.0,0.0,5.1890625,0.44921875,5.1890625,0.3515625,0.0,0.0,12.3,0.68359375,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.24609375,3.30078125,0.06640625,2.421875,0.27734375,5.1171875,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.39609375,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805696,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
0x0822,1731016678054000000,03ff00003618361200008023804037003700363636003700000039390038a8227c8e82d7000100020000000000000000000002800534000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f40000a90151500700000000000000000000000000000000000005c5234400fe111eef7d00,0,0.0,0.0,5.1890625,0.46875,5.1890625,0.3515625,0.0,0.0,12.3,0.68359375,12.3,1.25,5.28515625,0.0,5.28515625,0.0,5.1890625,5.1890625,5.1890625,0.0,5.28515625,0.0,0.0,0.0,12.24609375,12.24609375,0.0,12.03125,3.28125,0.06640625,2.421875,0.27734375,5.078125,0.16796875,0.0,0.09609375,0.0,0.1921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,12.3,0.09765625,4.996875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,error,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,不在线,未执行,未执行,未执行,未执行,96805700,0,0,备机,自主,备机,备机,使能,使能,使能,禁能,1,禁能,不在线,不在线,在线,0,主机,禁能,使能,自主,使能,备机,CPU喂狗,使能,捕获,正常模式,禁能,主备机交替切机,使能,使能,3,使能,使能,自主,不自主,可使用,禁能,关闭,关闭,关闭,关闭,关闭,关闭,关闭
